filename;Xi-square;RS-analyse;AUMP
1.bmp;0;0;0
2.bmp;1;1;0
3.bmp;1;0;1
4.bmp;0;0;1
5.bmp;0;1;0
6.bmp;0;1;0
7.bmp;1;0;0
8.bmp;0;1;0
9.bmp;0;1;0
10.bmp;0;1;0
11.bmp;0;1;0
12.bmp;0;0;0
13.bmp;0;1;1
14.bmp;0;0;0
15.bmp;0;0;0
16.bmp;1;0;0
17.bmp;1;0;1
18.bmp;1;0;0
19.bmp;0;1;0
20.bmp;0;0;0
21.bmp;1;0;1
22.bmp;0;1;0
23.bmp;1;0;0
24.bmp;1;0;0
25.bmp;1;1;1
26.bmp;0;0;0
27.bmp;0;1;1
28.bmp;1;1;1
29.bmp;0;1;0
30.bmp;0;0;0
31.bmp;0;1;0
32.bmp;1;1;0
33.bmp;0;1;0
34.bmp;0;1;1
35.bmp;1;1;1
36.bmp;1;1;0
37.bmp;1;0;0
38.bmp;0;1;1
39.bmp;0;1;0
40.bmp;1;1;1
41.bmp;1;0;0
42.bmp;0;1;0
43.bmp;1;1;1
44.bmp;1;1;0
45.bmp;0;1;0
46.bmp;1;1;1
47.bmp;0;0;0
48.bmp;0;1;0
49.bmp;1;1;0
50.bmp;1;1;1
1_stego_lab3_50.bmp;1;1;1
1_stego_lab3_100.bmp;1;1;1
2_stego_lab3_50.bmp;1;1;1
2_stego_lab3_100.bmp;1;1;0
3_stego_lab3_50.bmp;1;1;1
3_stego_lab3_100.bmp;1;1;1
4_stego_lab3_50.bmp;1;1;1
4_stego_lab3_100.bmp;1;1;1
5_stego_lab3_50.bmp;1;1;1
5_stego_lab3_100.bmp;1;1;1
6_stego_lab3_50.bmp;1;1;0
6_stego_lab3_100.bmp;1;1;0
7_stego_lab3_50.bmp;1;1;1
7_stego_lab3_100.bmp;1;1;1
8_stego_lab3_50.bmp;1;1;0
8_stego_lab3_100.bmp;1;1;1
9_stego_lab3_50.bmp;1;0;1
9_stego_lab3_100.bmp;1;0;1
10_stego_lab3_50.bmp;1;1;1
10_stego_lab3_100.bmp;1;0;0
11_stego_lab3_50.bmp;1;1;0
11_stego_lab3_100.bmp;1;1;1
12_stego_lab3_50.bmp;1;1;0
12_stego_lab3_100.bmp;1;1;1
13_stego_lab3_50.bmp;1;0;1
13_stego_lab3_100.bmp;1;0;1
14_stego_lab3_50.bmp;1;1;1
14_stego_lab3_100.bmp;1;1;1
15_stego_lab3_50.bmp;1;0;0
15_stego_lab3_100.bmp;1;1;0
16_stego_lab3_50.bmp;1;1;0
16_stego_lab3_100.bmp;1;1;1
17_stego_lab3_50.bmp;1;1;1
17_stego_lab3_100.bmp;1;0;1
18_stego_lab3_50.bmp;1;1;0
18_stego_lab3_100.bmp;1;0;1
19_stego_lab3_50.bmp;1;1;0
19_stego_lab3_100.bmp;1;1;0
20_stego_lab3_50.bmp;1;1;1
20_stego_lab3_100.bmp;1;1;1
21_stego_lab3_50.bmp;1;1;0
21_stego_lab3_100.bmp;1;1;0
22_stego_lab3_50.bmp;1;1;0
22_stego_lab3_100.bmp;1;1;1
23_stego_lab3_50.bmp;1;0;0
23_stego_lab3_100.bmp;1;0;1
24_stego_lab3_50.bmp;1;0;0
24_stego_lab3_100.bmp;1;1;1
25_stego_lab3_50.bmp;1;1;1
25_stego_lab3_100.bmp;1;0;1
26_stego_lab3_50.bmp;1;0;0
26_stego_lab3_100.bmp;1;0;1
27_stego_lab3_50.bmp;1;1;0
27_stego_lab3_100.bmp;1;1;1
28_stego_lab3_50.bmp;1;0;1
28_stego_lab3_100.bmp;1;0;1
29_stego_lab3_50.bmp;1;1;1
29_stego_lab3_100.bmp;1;1;1
30_stego_lab3_50.bmp;1;1;0
30_stego_lab3_100.bmp;1;1;0
